key,issue_type,title,status,start_date,due_date,parent_key,selected
S14P31B102-1,에픽,프로젝트 기획 및 구체화,완료,2026-04-13,2026-04-19,,False
S14P31B102-2,스토리,프로젝트 기획 배경 및 기타 사전조사,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-3,작업,공격/방어에 필요한 기술 사전조사,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-4,작업,게이미피케이션과 학습의 관계에 대한 자료 조사,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-10,작업,[FE] 화면 구성 목업,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-13,작업,[FE] 화면 구성 목업,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-6,작업,유저 시나리오 정리,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-5,작업,[FE] 프론트 기본 UI 구성,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-14,작업,[FE] 화면 구성 목업,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-7,작업,예상 트래픽 산정,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-11,작업,시나리오 챕터별 구체화,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-12,작업,시나리오 챕터별 구체화,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-17,작업,컨님 컨펌용 자료 준비,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-18,작업,프롤로그 영상 스토리보드,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-8,스토리,중간발표 준비,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-9,작업,시나리오 챕터별 구체화,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-15,작업,ERD 구성,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-16,작업,ERD 구성,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-19,작업,기술스택 리서치,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-20,작업,기술스택 리서치,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-21,작업,기술스택 리서치,완료,2026-04-13,2026-04-19,S14P31B102-1,False
S14P31B102-25,작업,중간발표 PPT 제작,완료,,,S14P31B102-1,False
S14P31B102-38,작업,중간발표 영상 편집,완료,,,S14P31B102-1,False
S14P31B102-22,에픽,챕터 1 프론트엔드 개발,,2026-04-20,2026-04-26,,False
S14P31B102-23,에픽,챕터 1 백엔드 개발,,2026-04-20,2026-04-26,,False
S14P31B102-24,에픽,챕터 1 관련 기타,,2026-04-20,2026-04-26,,False
S14P31B102-76,에픽,챕터 2 프론트엔드 개발,,2026-04-27,2026-05-03,,False
S14P31B102-77,에픽,챕터 2 백엔드 개발,,2026-04-27,2026-05-03,,False
S14P31B102-78,에픽,챕터 2 관련 기타,,2026-04-27,2026-05-03,,False
S14P31B102-232,에픽,챕터 3 프론트엔드 개발,,2026-05-04,2026-05-10,,False
S14P31B102-233,에픽,챕터 3 백엔드 개발,,2026-05-04,2026-05-10,,False
S14P31B102-222,에픽,챕터 3 관련 기타,,2026-05-04,2026-05-10,,False
S14P31B102-293,에픽,챕터 4 프론트엔드 개발,,2026-05-11,2026-05-17,,False
S14P31B102-294,에픽,챕터 4 백엔드 개발,,2026-05-11,2026-05-17,,False
S14P31B102-295,에픽,챕터 4 관련 기타,,2026-05-11,2026-05-17,,False
S14P31B102-85,스토리,FE 사용자 화면 관리,완료,2026-04-27,2026-05-03,S14P31B102-22,False
S14P31B102-87,작업,페이지 이동 시 전체 화면 해제 문제 수정,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-37,작업,FE OS 배경화면 드래그 기능,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-27,스토리,FE 프로젝트 스캐폴딩,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-28,작업,FE 초기 뼈대 및 환경 설정 구성,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-96,작업,백엔드의 story start와 연동,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-70,작업,FE 랜딩 페이지 개발,완료,2026-04-20,2026-04-26,S14P31B102-22,False
S14P31B102-105,작업,FE 인증 관련 체계 마이그레이션,완료,2026-04-20,2026-04-26,S14P31B102-22,False
